CUST_HOT,416.44
CUST_HOT,338.81
CUST_HOT,124.08
CUST_HOT,298.87
CUST_HOT,87.76
CUST_HOT,25.68
CUST_HOT,307.89
CUST_HOT,411.02
CUST_HOT,122.4
CUST_HOT,24.92
CUST_HOT,336.15
CUST_HOT,139.58
CUST_HOT,356.02
CUST_HOT,104.63
CUST_HOT,206.64
CUST_HOT,306.69
CUST_12,328.8
CUST_HOT,310.27
CUST_HOT,305.03
CUST_HOT,451.35
CUST_HOT,444.98
CUST_HOT,434.36
CUST_HOT,176.46
CUST_HOT,369.33
CUST_HOT,251.14
CUST_HOT,409.77
CUST_HOT,373.87
CUST_HOT,389.61
CUST_HOT,37.17
CUST_HOT,431.49
CUST_HOT,342.95
CUST_HOT,254.19
CUST_8,114.12
CUST_HOT,200.76
CUST_HOT,347.82
CUST_HOT,376.45
CUST_HOT,49.52
CUST_HOT,43.09
CUST_HOT,123.04
CUST_HOT,75.11
CUST_HOT,277.31
CUST_HOT,318.48
CUST_HOT,76.22
CUST_HOT,308.1
CUST_HOT,277.95
CUST_HOT,109.86
CUST_13,247.06
CUST_HOT,436.21
CUST_HOT,129.57
CUST_HOT,254.06
CUST_HOT,275.09
CUST_HOT,272.83
CUST_HOT,193.38
CUST_HOT,78.36
CUST_12,284.93
CUST_HOT,258.57
CUST_HOT,101.4
CUST_HOT,141.21
CUST_5,33.34
CUST_9,66.3
CUST_HOT,180.11
CUST_HOT,35.07
CUST_HOT,366.0
CUST_HOT,159.6
CUST_HOT,102.53
CUST_HOT,421.67
CUST_HOT,430.47
CUST_17,191.16
CUST_6,195.4
CUST_HOT,81.78
CUST_HOT,154.42
CUST_HOT,416.47
CUST_HOT,43.65
CUST_15,145.44
CUST_HOT,336.9
CUST_HOT,387.59
CUST_HOT,345.79
CUST_HOT,416.3
CUST_HOT,359.57
CUST_HOT,466.43
CUST_HOT,112.99
CUST_HOT,395.08
CUST_HOT,300.44
CUST_7,93.84
CUST_HOT,146.65
CUST_HOT,280.82
CUST_HOT,145.19
CUST_HOT,373.8
CUST_HOT,84.43
CUST_HOT,69.47
CUST_HOT,212.03
CUST_3,403.75
CUST_HOT,412.78
CUST_HOT,88.3
CUST_HOT,271.87
CUST_1,189.1
CUST_HOT,57.28
CUST_HOT,428.12
CUST_HOT,271.65
CUST_HOT,35.5
CUST_HOT,442.91
CUST_HOT,344.78
CUST_HOT,361.79
CUST_HOT,423.56
CUST_HOT,107.9
CUST_HOT,133.95
CUST_HOT,429.54
CUST_HOT,341.86
CUST_HOT,184.21
CUST_HOT,63.3
CUST_HOT,142.92
CUST_HOT,442.69
CUST_HOT,407.06
CUST_HOT,120.51
CUST_HOT,269.38
CUST_5,185.04
CUST_HOT,254.85
CUST_HOT,102.32
CUST_HOT,276.67
CUST_HOT,277.32
CUST_HOT,404.68
CUST_HOT,309.5
CUST_9,279.44
CUST_HOT,45.95
CUST_5,365.59
CUST_HOT,306.6
CUST_HOT,227.98
CUST_HOT,29.21
CUST_HOT,77.73
CUST_HOT,90.45
CUST_HOT,143.37
CUST_HOT,86.34
CUST_0,124.05
CUST_HOT,30.31
CUST_HOT,478.1
CUST_HOT,209.08
CUST_HOT,92.43
CUST_HOT,404.69
CUST_6,279.73
CUST_HOT,364.56
CUST_HOT,266.94
CUST_HOT,206.75
CUST_HOT,324.78
CUST_HOT,358.8
CUST_HOT,382.35
CUST_HOT,248.99
CUST_HOT,97.74
